epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
115,6329.41,0.72279,0.533,1.02819,0.94828,0.90626,0.94671,0.81498,0.58434,0.37907,0.89848,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,6383.85,0.71759,0.53855,1.02333,0.9608,0.8859,0.94208,0.81837,0.57789,0.38704,0.89732,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,6438.29,0.70984,0.52796,1.02377,0.96594,0.87334,0.94845,0.81975,0.57732,0.38261,0.8956,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,6492.72,0.71355,0.52814,1.02257,0.96235,0.89039,0.94363,0.81604,0.57803,0.38612,0.89979,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,6547.2,0.71189,0.53006,1.03063,0.96486,0.88329,0.94739,0.81571,0.58237,0.38255,0.90512,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,6601.72,0.71277,0.52939,1.02542,0.95233,0.89022,0.94464,0.81992,0.57103,0.37249,0.88956,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,6655.98,0.69792,0.52107,1.01652,0.95196,0.89058,0.94209,0.82094,0.56862,0.37063,0.88752,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,6710.71,0.70027,0.51592,1.01514,0.9462,0.90793,0.9462,0.82194,0.56945,0.36669,0.89136,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,6765.31,0.7086,0.52542,1.01952,0.96621,0.89446,0.94635,0.82536,0.56901,0.366,0.89087,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,6819.99,0.70742,0.51975,1.01769,0.9571,0.89862,0.94353,0.82214,0.56858,0.36567,0.88665,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,6874.29,0.69777,0.50766,1.0183,0.96044,0.89844,0.94321,0.82388,0.56516,0.3768,0.88849,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,6928.65,0.70021,0.51717,1.02133,0.97283,0.89962,0.94738,0.82887,0.56014,0.37129,0.88489,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,6983.3,0.69641,0.50089,1.0143,0.95797,0.91077,0.94395,0.8243,0.56396,0.36986,0.88557,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,7037.9,0.68664,0.50366,1.01387,0.9572,0.90198,0.94363,0.82719,0.55781,0.36982,0.88267,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,7092.46,0.68609,0.50292,1.00903,0.96165,0.90033,0.94513,0.82855,0.54222,0.35935,0.87785,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,7147.05,0.68494,0.49714,1.01146,0.94497,0.90907,0.94413,0.82906,0.55556,0.37057,0.88646,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,7201.66,0.70194,0.50973,1.02364,0.95826,0.90726,0.9485,0.83438,0.54699,0.36731,0.88524,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,7256.07,0.68095,0.50274,1.00863,0.9611,0.9052,0.94804,0.83172,0.55002,0.36188,0.88602,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,7310.61,0.68924,0.49903,1.01568,0.95809,0.91426,0.95039,0.83579,0.55255,0.34731,0.88776,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,7365.12,0.68244,0.50342,1.00789,0.95934,0.91175,0.94335,0.83177,0.54779,0.35496,0.88575,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,7419.51,0.67407,0.49622,1.00347,0.97183,0.90558,0.94541,0.83262,0.54156,0.35049,0.87925,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
136,7474.19,0.68734,0.50112,1.01177,0.9592,0.90793,0.94777,0.83144,0.54643,0.35034,0.88085,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
137,7529.03,0.67356,0.48669,1.00405,0.9715,0.90283,0.94866,0.8394,0.53431,0.34259,0.87658,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
138,7583.78,0.67643,0.48667,1.00576,0.96504,0.92079,0.95209,0.83799,0.53952,0.34239,0.87867,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479
